response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect;size_download;iteration;fileName
200;2;4318;0;1.489335;1.155148;1.154990;1.489492;0.637587;6432;3;/public/script12.js
200;2;2188;0;1.469451;1.151654;1.151478;1.469577;0.626917;3216;3;/public/script13.js
200;2;3554;0;1.507845;1.168114;1.168026;1.507946;0.626065;5360;3;/public/script14.js
200;2;2102;0;1.784269;1.161835;1.161732;1.784397;0.625178;3752;3;/public/script15.js
200;2;2852;0;1.497336;1.155181;1.154977;1.497426;0.628080;4271;3;/public/style1.css
200;2;286;0;1.502715;1.163728;1.163624;1.502809;0.626680;430;3;/public/style2.css
0;0;0;0;0;0;0;0;0;0
200;2;1846;0;1.446238;1.115064;1.114827;1.447202;0.630991;2672;3;/public/style4.css
200;2;1381;0;2.705331;1.155183;1.155080;2.706053;0.631520;3738;3;/public/style5.css
200;2;392;0;2.730242;2.205230;2.205069;2.730495;0.626285;1073;3;/public/style6.css
200;2;2985;0;6.553950;6.238811;6.238599;6.590423;5.857694;19673;4;/public/
200;2;259;0;1.804602;1.180804;1.180704;1.804647;0.646615;468;4;/public/script1.js
200;2;42816;0;1.498116;1.158557;1.158445;1.802649;0.640729;77184;4;/public/script2.js
200;2;16829;0;1.494658;1.157543;1.157414;1.528749;0.637152;25728;4;/public/script3.js
200;2;5725;0;1.497701;1.158904;1.158792;1.497837;0.651087;8576;4;/public/script4.js
200;2;6150;0;1.535911;1.200233;1.200138;1.568898;0.636858;9649;4;/public/script5.js
200;2;6329;0;1.495113;1.152764;1.152676;1.524512;0.634688;9649;4;/public/script6.js
200;2;1959;0;1.367346;1.033625;1.033484;1.367559;0.602480;2680;4;/public/script7.js
200;2;3155;0;1.528710;1.193580;1.193462;1.528827;0.631007;4824;4;/public/script8.js
200;2;6338;0;1.488930;1.149062;1.148983;1.522051;0.625248;9648;4;/public/script9.js
200;2;5360;0;1.499740;1.162997;1.162904;1.499876;0.654069;8040;4;/public/script10.js
200;2;776;0;2.762068;1.156282;1.156172;2.762309;0.656790;2144;4;/public/script11.js
200;2;4433;0;1.450640;1.127542;1.127308;1.450892;0.644111;6432;4;/public/script12.js
200;2;1770;0;1.816167;1.185221;1.185116;1.816236;0.660241;3216;4;/public/script13.js
200;2;2268;0;2.361037;2.035683;2.035435;2.362292;1.665577;5360;4;/public/script14.js
200;2;2069;0;1.813104;1.180831;1.180753;1.813178;0.654447;3752;4;/public/script15.js
200;2;3164;0;1.349655;1.015219;1.015138;1.349819;0.642310;4271;4;/public/style1.css
200;2;242;0;1.773631;1.147906;1.147811;1.773663;0.646465;430;4;/public/style2.css
200;2;1444;0;1.480373;1.145556;1.145463;1.480497;0.605603;2139;4;/public/style3.css
200;2;1826;0;1.462788;1.122430;1.122315;1.462940;0.673506;2672;4;/public/style4.css
200;2;2562;0;1.458706;1.124257;1.124156;1.458816;0.637744;3738;4;/public/style5.css
200;2;711;0;1.507180;1.182810;1.182682;1.507259;0.640790;1073;4;/public/style6.css
200;2;14601;0;1.314945;0.998069;0.997950;1.347324;0.591827;19673;5;/public/
200;2;189;0;2.465836;1.001378;1.001218;2.466026;0.579165;468;5;/public/script1.js
200;2;11068;0;6.633801;6.316540;6.316311;6.973175;5.882848;77184;5;/public/script2.js
200;2;17443;0;1.440307;1.103068;1.102957;1.474896;0.580439;25728;5;/public/script3.js
200;2;3507;0;2.443446;2.092140;2.091927;2.444902;1.669460;8576;5;/public/script4.js
200;2;6436;0;1.467039;1.134933;1.134819;1.499168;0.643503;9649;5;/public/script5.js
200;2;3210;0;3.003187;2.470221;2.470085;3.005598;0.640211;9649;5;/public/script6.js
200;2;1040;0;2.574011;1.091022;1.090900;2.575214;0.599104;2680;5;/public/script7.js
200;2;3378;0;1.427507;1.087521;1.087402;1.427793;0.609768;4824;5;/public/script8.js
200;2;6510;0;1.481742;1.139978;1.139859;1.481940;0.632150;9648;5;/public/script9.js
200;2;5483;0;1.466036;1.132399;1.132307;1.466201;0.595981;8040;5;/public/script10.js
200;2;1458;0;1.470057;1.134728;1.134627;1.470236;0.632112;2144;5;/public/script11.js
200;2;4382;0;1.464096;1.126257;1.126172;1.467507;0.617783;6432;5;/public/script12.js
200;2;1830;0;1.756594;1.117752;1.117650;1.756645;0.637569;3216;5;/public/script13.js
200;2;3698;0;1.449073;1.116366;1.116194;1.449228;0.617800;5360;5;/public/script14.js
200;2;2557;0;1.466909;1.125706;1.125622;1.467013;0.624217;3752;5;/public/script15.js
200;2;3017;0;1.415277;1.079812;1.079704;1.415390;0.643420;4271;5;/public/style1.css
200;2;307;0;1.398980;1.068146;1.067921;1.399187;0.613029;430;5;/public/style2.css
200;2;1518;0;1.408230;1.074099;1.073993;1.408309;0.634455;2139;5;/public/style3.css
200;2;1835;0;1.455680;1.119578;1.119476;1.455756;0.636955;2672;5;/public/style4.css
200;2;2601;0;1.436524;1.103817;1.103652;1.436662;0.636293;3738;5;/public/style5.css
200;2;162;0;6.611222;6.282887;6.282775;6.611348;5.854633;1073;5;/public/style6.css
200;2;14668;0;1.308142;0.982351;0.982082;1.341178;0.558712;19673;6;/public/
200;2;199;0;2.341980;0.995481;0.995323;2.342199;0.558196;468;6;/public/script1.js
200;2;44778;0;1.428216;1.090376;1.090246;1.723671;0.563131;77184;6;/public/script2.js
200;2;16960;0;1.480275;1.140811;1.140722;1.516923;0.639392;25728;6;/public/script3.js
200;2;5822;0;1.472691;1.133793;1.133622;1.472849;0.629850;8576;6;/public/script4.js
200;2;6502;0;1.463526;1.124588;1.124431;1.483814;0.624826;9649;6;/public/script5.js
200;2;5856;0;1.645018;1.074824;1.074660;1.647707;0.596309;9649;6;/public/script6.js
200;2;1056;0;2.535422;1.008336;1.008108;2.535703;0.588452;2680;6;/public/script7.js
200;2;3420;0;1.407742;1.071154;1.071051;1.410290;0.604492;4824;6;/public/script8.js
200;2;2812;0;3.429460;2.040214;2.039989;3.429813;1.645904;9648;6;/public/script9.js
200;2;5750;0;1.398054;1.073562;1.073398;1.398242;0.585445;8040;6;/public/script10.js
200;2;1468;0;1.460034;1.121566;1.121469;1.460111;0.616088;2144;6;/public/script11.js
200;2;4646;0;1.382521;1.058954;1.058694;1.384273;0.611437;6432;6;/public/script12.js
200;2;395;0;8.122808;7.558060;7.557856;8.123081;5.854147;3216;6;/public/script13.js
200;2;3689;0;1.448863;1.114897;1.114787;1.452916;0.612960;5360;6;/public/script14.js
200;2;2298;0;1.632386;1.053572;1.053293;1.632563;0.605953;3752;6;/public/script15.js
200;2;331;0;12.900732;11.313496;11.313321;12.901255;10.886998;4271;6;/public/style1.css
200;2;298;0;1.442251;1.103526;1.103390;1.442352;0.639405;430;6;/public/style2.css
200;2;274;0;7.779264;6.235350;6.235148;7.780729;5.810857;2139;6;/public/style3.css
200;2;1916;0;1.394057;1.058086;1.057983;1.394514;0.629929;2672;6;/public/style4.css
200;2;2613;0;1.429962;1.098780;1.098579;1.430151;0.635082;3738;6;/public/style5.css
200;2;403;0;2.661017;2.073355;2.073159;2.661360;0.626388;1073;6;/public/style6.css
200;2;14898;0;1.286457;0.961519;0.961270;1.320503;0.602972;19673;7;/public/
200;2;301;0;1.550434;1.214664;1.214528;1.550542;0.621728;468;7;/public/script1.js
200;2;42274;0;1.506648;1.170338;1.170206;1.825797;0.630695;77184;7;/public/script2.js
200;2;9062;0;2.800280;1.218495;1.218394;2.838869;0.621643;25728;7;/public/script3.js
200;2;5871;0;1.460379;1.144391;1.144163;1.460705;0.627386;8576;7;/public/script4.js
200;2;3465;0;2.778650;1.204351;1.204208;2.784220;0.635064;9649;7;/public/script5.js
200;2;3457;0;2.777990;1.161071;1.160978;2.790747;0.644521;9649;7;/public/script6.js
200;2;1802;0;1.486376;1.148775;1.148644;1.486755;0.627103;2680;7;/public/script7.js
200;2;3156;0;1.528323;1.191716;1.191529;1.528411;0.631670;4824;7;/public/script8.js
200;2;4139;0;2.323542;1.994759;1.994530;2.330801;1.662063;9648;7;/public/script9.js
200;2;5414;0;1.484630;1.147108;1.146973;1.484852;0.625429;8040;7;/public/script10.js
200;2;812;0;2.638125;1.158082;1.157964;2.638405;0.623999;2144;7;/public/script11.js
200;2;4235;0;1.518010;1.180182;1.180047;1.518598;0.623952;6432;7;/public/script12.js
200;2;2158;0;1.489898;1.159912;1.159809;1.490011;0.623739;3216;7;/public/script13.js
200;2;2304;0;2.324604;1.987343;1.987233;2.326077;1.647250;5360;7;/public/script14.js
200;2;2469;0;1.519370;1.183515;1.183422;1.519447;0.631325;3752;7;/public/script15.js
200;2;2802;0;1.523843;1.186828;1.186753;1.523940;0.630091;4271;7;/public/style1.css
200;2;156;0;2.740934;1.137894;1.137792;2.741188;0.629341;430;7;/public/style2.css
