response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect;size_download;iteration;fileName
200;3;42781;0;0.225507;0.132135;0.129754;0.225542;0.018058;9649;5;/public/script5.js
200;3;37976;0;0.212020;0.121309;0.119026;0.254076;0.012074;9649;5;/public/script6.js
200;3;13708;0;0.195440;0.127136;0.124769;0.195495;0.009746;2680;5;/public/script7.js
200;3;22404;0;0.214581;0.122113;0.119782;0.215317;0.009062;4824;5;/public/script8.js
200;3;39343;0;0.210591;0.119727;0.117425;0.245227;0.009228;9648;5;/public/script9.js
200;3;48678;0;0.152123;0.115876;0.113361;0.165164;0.009567;8040;5;/public/script10.js
200;3;10416;0;0.205523;0.113040;0.110730;0.205830;0.005509;2144;5;/public/script11.js
200;3;23820;0;0.264153;0.112265;0.110007;0.270018;0.007358;6432;5;/public/script12.js
200;3;12397;0;0.257007;0.110586;0.108329;0.259410;0.008950;3216;5;/public/script13.js
200;3;21022;0;0.252287;0.111790;0.109457;0.254968;0.005705;5360;5;/public/script14.js
200;3;14474;0;0.257678;0.109033;0.106845;0.259209;0.005186;3752;5;/public/script15.js
200;3;17996;0;0.237267;0.098931;0.096614;0.237320;0.005463;4271;5;/public/style1.css
200;3;1772;0;0.242474;0.104204;0.101939;0.242545;0.005611;430;5;/public/style2.css
200;3;14260;0;0.149960;0.101999;0.099469;0.149998;0.004365;2139;5;/public/style3.css
200;3;18438;0;0.144876;0.103972;0.099344;0.144911;0.005354;2672;5;/public/style4.css
200;3;14519;0;0.256428;0.100714;0.098725;0.257452;0.004023;3738;5;/public/style5.css
200;3;4161;0;0.257794;0.098962;0.096884;0.257856;0.003238;1073;5;/public/style6.css
200;3;109387;0;0.177694;0.097906;0.090140;0.179847;0.009168;19673;6;/public/
200;3;2876;0;0.162652;0.108281;0.105994;0.162691;0.018148;468;6;/public/script1.js
200;3;204041;0;0.187273;0.116008;0.114029;0.378276;0.021530;77184;6;/public/script2.js
200;3;114846;0;0.215776;0.112365;0.110376;0.224020;0.015132;25728;6;/public/script3.js
200;3;38559;0;0.222054;0.111788;0.109797;0.222411;0.016650;8576;6;/public/script4.js
