response_code;http_version;speed_download;speed_upload;time_starttransfer;time_pretransfer;time_appconnect;time_total;time_connect;size_download
200;2;3;0;1.211651;1.130112;1.130051;1.211710;0.051860;4
200;2;3;0;1.126100;1.074318;1.074237;1.126146;0.046251;4
200;2;3;0;1.114265;1.063921;1.063871;1.114300;0.065165;4
200;2;3;0;1.272395;1.179012;1.178914;1.272445;0.058992;4
200;2;4;0;0.927342;0.831097;0.830855;0.927384;0.068712;4
200;2;3;0;1.218798;1.136381;1.136291;1.218841;0.072137;4
200;2;4;0;0.937300;0.833198;0.832949;0.937323;0.058345;4
200;2;3;0;1.203596;1.114828;1.114742;1.203645;0.056055;4
200;2;3;0;1.107784;1.055597;1.055496;1.107816;0.062657;4
200;2;4;0;0.969642;0.844425;0.844363;0.969669;0.056366;4
200;2;3;0;1.202697;1.125206;1.125144;1.202740;0.063071;4
200;2;4;0;0.954705;0.847136;0.847051;0.954732;0.055652;4
200;2;4;0;0.947286;0.837556;0.837503;0.947331;0.060444;4
200;2;3;0;1.017177;0.870154;0.870106;1.017237;0.060125;4
200;2;3;0;1.244991;1.156972;1.156842;1.245027;0.056800;4
200;2;4;0;0.948825;0.837924;0.837857;0.948854;0.066389;4
200;2;3;0;1.196609;1.116531;1.116458;1.196663;0.056889;4
200;2;3;0;1.246288;1.163811;1.163705;1.246317;0.053071;4
200;2;5;0;0.790598;0.753703;0.753443;0.790634;0.054399;4
200;2;4;0;0.959276;0.848568;0.848503;0.959300;0.064067;4
200;2;4;0;0.954156;0.852556;0.852491;0.954200;0.074723;4
200;2;4;0;0.857251;0.797401;0.797282;0.857285;0.073415;4
200;2;4;0;0.839260;0.792158;0.791906;0.839567;0.076154;4
200;2;4;0;0.949841;0.822335;0.822263;0.950070;0.068988;4
200;2;4;0;0.931517;0.804023;0.803907;0.931552;0.073680;4
200;2;4;0;0.849561;0.794931;0.794866;0.852437;0.124403;4
200;2;4;0;0.929430;0.820477;0.820357;0.929462;0.066992;4
200;2;4;0;0.929375;0.820499;0.820153;0.929400;0.115517;4
200;2;4;0;0.962404;0.833003;0.832929;0.962461;0.116825;4
200;2;4;0;0.963659;0.842956;0.842886;0.963702;0.117170;4
200;2;3;0;1.281587;1.229022;1.228947;1.281632;0.116760;4
200;2;6;0;0.643003;0.579395;0.579134;0.643060;0.072188;4
200;2;4;0;0.937443;0.827647;0.827596;0.940482;0.116134;4
200;2;4;0;0.839009;0.796277;0.796043;0.839045;0.110508;4
200;2;3;0;1.094897;1.011959;1.011766;1.094959;0.140260;4
200;2;4;0;0.990581;0.931079;0.930993;0.990665;0.085006;4
200;2;4;0;0.915854;0.840598;0.840406;0.915931;0.084675;4
200;2;4;0;0.899311;0.836295;0.835515;0.899383;0.090059;4
200;2;4;0;0.813282;0.736919;0.736764;0.813324;0.080645;4
200;2;4;0;0.876362;0.715033;0.714959;0.876407;0.079040;4
200;2;4;0;0.806559;0.753163;0.752473;0.806655;0.093336;4
200;2;5;0;0.763994;0.710257;0.710172;0.764126;0.075048;4
200;2;5;0;0.742787;0.663642;0.663566;0.742937;0.122861;4
200;2;6;0;0.629408;0.545683;0.545593;0.629461;0.079617;4
200;2;6;0;0.621573;0.548266;0.548176;0.621636;0.100534;4
200;2;6;0;0.621037;0.549954;0.549880;0.621093;0.100388;4
200;2;6;0;0.622070;0.568477;0.568324;0.640187;0.121366;4
200;2;6;0;0.612017;0.558382;0.558278;0.630140;0.091534;4
200;2;7;0;0.564507;0.515160;0.515076;0.564641;0.050776;4
